implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
go,root-help,236,8722.136,4795.000,5994.000,13468,824,0,86,0
rust,root-help,236,3417.701,1094.000,2189.000,6580,349,0,1,0
rust,root-help,237,2518.953,1197.000,1197.000,6684,350,0,1,0
go,root-help,237,9995.457,3826.000,8608.000,13564,836,0,88,1
go,root-help,238,8696.918,4916.000,6145.000,13276,779,0,86,0
rust,root-help,238,3842.319,0.000,3706.000,6664,350,0,1,1
rust,root-help,239,2607.969,1221.000,1221.000,6680,350,0,1,0
go,root-help,239,8832.973,4962.000,6202.000,13396,800,0,81,0
go,root-help,240,8728.118,3375.000,6751.000,13468,827,0,77,2
rust,root-help,240,3841.707,1847.000,1847.000,6472,349,0,1,1
rust,root-help,241,3132.095,0.000,2980.000,6684,349,0,0,0
go,root-help,241,8708.881,2397.000,8391.000,13184,747,0,93,0
go,root-help,242,7246.052,2396.000,7189.000,13500,837,0,74,0
rust,root-help,242,2371.725,0.000,2307.000,6588,351,0,1,0
rust,root-help,243,3050.902,994.000,1988.000,6728,349,0,1,0
go,root-help,243,8884.782,3712.000,7424.000,13440,815,0,92,0
go,root-help,244,9026.858,7154.000,4088.000,13164,773,0,94,0
rust,root-help,244,2203.801,2104.000,0.000,6612,350,0,1,0
rust,root-help,245,3770.293,911.000,2735.000,6676,349,0,1,0
go,root-help,245,8396.915,5625.000,5625.000,13220,766,0,89,0
go,root-help,246,5640.485,1161.000,6966.000,13440,824,0,67,1
rust,root-help,246,2892.604,938.000,1876.000,6572,350,0,1,0
rust,root-help,247,2535.444,1219.000,1219.000,6744,350,0,1,0
go,root-help,247,9493.184,4596.000,6435.000,13476,816,0,83,2
go,root-help,248,6310.455,3670.000,4587.000,13564,819,0,69,0
rust,root-help,248,2532.247,1220.000,1220.000,6748,350,0,1,0
rust,root-help,249,2484.036,0.000,2392.000,6732,349,0,1,1
go,root-help,249,7980.052,3765.000,6589.000,13308,805,0,90,1
go,root-help,250,7247.065,1220.000,8542.000,12968,773,0,78,0
rust,root-help,250,3159.475,0.000,3040.000,6664,350,0,1,1
rust,root-help,251,2462.807,1150.000,1150.000,6592,350,0,1,1
go,root-help,251,7714.774,6239.000,4159.000,13084,771,0,86,0
go,root-help,252,7768.925,3816.000,6360.000,13176,774,0,80,1
rust,root-help,252,2974.558,0.000,2859.000,6556,350,0,1,0
rust,root-help,253,3243.624,1045.000,2091.000,6672,353,0,1,0
go,root-help,253,4756.255,1688.000,5065.000,13344,809,0,64,0
go,root-help,254,5513.888,4494.000,2996.000,13472,833,0,65,1
rust,root-help,254,3680.304,0.000,3604.000,6852,351,0,1,0
rust,root-help,255,3510.976,0.000,3429.000,6692,351,0,1,0
go,root-help,255,8000.230,5626.000,4501.000,13392,814,0,82,2
go,root-help,256,8199.463,5402.000,4322.000,13436,819,0,83,0
rust,root-help,256,3686.315,2348.000,1174.000,6628,350,0,1,1
rust,root-help,257,1904.979,914.000,914.000,6684,350,0,1,0
go,root-help,257,4877.031,2103.000,4207.000,13436,815,0,54,0
go,root-help,258,5547.052,4237.000,3178.000,13276,819,0,71,0
rust,root-help,258,3755.115,981.000,1962.000,6716,349,0,1,1
rust,root-help,259,2250.497,0.000,2081.000,6600,350,0,1,0
go,root-help,259,5235.485,4404.000,3303.000,13476,811,0,72,4
go,root-help,260,5728.502,5081.000,2540.000,13476,797,0,67,2
rust,root-help,260,3459.690,1131.000,2263.000,6684,349,0,1,0
rust,root-help,261,2729.528,1081.000,1081.000,6724,351,0,1,1
go,root-help,261,9423.574,6470.000,5391.000,13348,809,0,80,0
go,root-help,262,5101.383,2137.000,4275.000,13184,769,0,64,0
rust,root-help,262,2353.342,0.000,2243.000,6796,351,0,1,0
rust,root-help,263,1948.971,0.000,1838.000,6240,355,0,1,0
go,root-help,263,7087.356,3816.000,6361.000,13308,804,0,75,0
go,root-help,264,6482.789,5346.000,2673.000,13368,830,0,80,1
rust,root-help,264,1859.815,0.000,1771.000,6560,352,0,1,0
rust,root-help,265,2435.264,771.000,1543.000,6412,351,0,1,0
go,root-help,265,7844.658,5180.000,5180.000,13348,792,0,74,0
go,root-help,266,7890.795,7077.000,2830.000,13108,784,0,80,0
rust,root-help,266,3198.328,774.000,2323.000,6560,349,0,1,1
rust,root-help,267,2431.307,0.000,2335.000,6684,349,0,1,0
