implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
go,root-help,174,5019.048,1796.000,2694.000,13164,696,0,42,37
rust,root-help,174,1987.194,0.000,1922.000,6596,351,0,1,1
rust,root-help,175,1678.133,0.000,1623.000,6720,350,0,1,1
go,root-help,175,5115.821,2792.000,1861.000,13176,695,0,46,40
go,root-help,176,5074.945,1997.000,2996.000,13128,701,0,49,46
rust,root-help,176,2212.147,0.000,2141.000,6712,350,0,1,1
rust,root-help,177,2175.317,0.000,1954.000,6628,348,0,1,1
go,root-help,177,4435.363,1083.000,3250.000,13176,697,0,14,10
go,root-help,178,6004.740,1815.000,3630.000,13148,686,0,46,42
rust,root-help,178,2629.261,713.000,1427.000,6568,350,0,1,2
rust,root-help,179,2005.958,966.000,966.000,6720,349,0,1,2
go,root-help,179,5037.143,905.000,3623.000,13220,696,0,14,11
go,root-help,180,5176.034,3034.000,2023.000,13172,705,0,25,23
rust,root-help,180,2361.196,2289.000,0.000,6720,350,0,1,1
rust,root-help,181,2613.801,717.000,1435.000,6656,351,0,1,2
go,root-help,181,4970.778,1796.000,2694.000,13164,705,0,30,23
go,root-help,182,4843.039,2198.000,2198.000,13164,683,0,15,12
rust,root-help,182,1673.293,0.000,1613.000,6588,351,0,1,2
rust,root-help,183,1410.530,0.000,1368.000,6736,350,0,1,1
go,root-help,183,4680.764,3381.000,845.000,13148,701,0,35,33
go,root-help,184,4292.143,967.000,2902.000,13220,695,0,38,32
rust,root-help,184,1689.755,819.000,819.000,6408,352,0,1,2
rust,root-help,185,1517.040,1456.000,0.000,6432,350,0,1,1
go,root-help,185,3842.338,1879.000,1879.000,13084,687,0,16,12
go,root-help,186,3959.940,2903.000,967.000,13160,687,0,38,35
rust,root-help,186,1841.700,895.000,895.000,6600,351,0,1,1
rust,root-help,187,1453.821,0.000,1396.000,6600,348,0,1,1
go,root-help,187,4267.015,771.000,3087.000,13184,700,0,40,34
go,root-help,188,4546.952,2223.000,2223.000,13148,707,0,42,36
rust,root-help,188,2292.597,1080.000,1080.000,6660,351,0,1,1
rust,root-help,189,1904.248,0.000,1823.000,6596,351,0,1,1
go,root-help,189,5614.298,1711.000,3423.000,13216,692,0,48,41
go,root-help,190,6058.873,2745.000,2745.000,13180,686,0,39,36
rust,root-help,190,2083.223,0.000,2014.000,6752,350,0,1,1
rust,root-help,191,2456.565,0.000,1950.000,6620,350,0,1,2
go,root-help,191,5364.899,1047.000,4191.000,13148,699,0,44,41
go,root-help,192,5420.042,1961.000,2942.000,13032,681,0,17,13
rust,root-help,192,2195.084,0.000,2110.000,6728,351,0,1,2
rust,root-help,193,1928.964,0.000,1852.000,6716,350,0,1,2
go,root-help,193,4558.253,2227.000,2227.000,13180,686,0,13,7
go,root-help,194,4614.980,2719.000,1812.000,13148,702,0,20,13
rust,root-help,194,2255.749,1094.000,1094.000,6556,350,0,1,1
rust,root-help,195,2096.227,1012.000,1012.000,6460,350,0,1,1
go,root-help,195,5212.221,2037.000,3056.000,13172,698,0,13,7
go,root-help,196,5386.319,1761.000,3523.000,13084,703,0,47,40
rust,root-help,196,2316.943,1127.000,1127.000,6748,349,0,1,1
rust,root-help,197,2102.831,0.000,2033.000,6664,350,0,1,1
go,root-help,197,5603.086,1667.000,3335.000,13172,704,0,32,27
go,root-help,198,5000.213,1960.000,2940.000,13180,688,0,20,13
rust,root-help,198,2548.076,1237.000,1237.000,6664,349,0,1,1
rust,root-help,199,2626.144,1069.000,1069.000,6576,349,0,1,2
go,root-help,199,5117.545,1993.000,2990.000,13084,689,0,27,25
go,root-help,200,4866.993,1911.000,2867.000,13048,679,0,16,11
rust,root-help,200,2785.252,690.000,1381.000,6548,350,0,1,2
rust,root-help,201,2033.691,976.000,976.000,6664,350,0,1,2
